Student Name,Student ID,Major
Jonathan Lopez,SID1113,Philosophy
Brenda Erickson,SID1114,Biology
Rebecca Villarreal,SID1115,Medicine
Martin Cole,SID1116,Engineering
William Robinson,SID1117,Philosophy
Angela Hill,SID1118,Mathematics
Christopher Higgins,SID1119,Economics
Frank Martin,SID1120,Medicine
Jeffrey Gilbert,SID1121,History
Kelly Robbins MD,SID1122,Economics
Nicholas Mccarthy,SID1123,Psychology
William Brewer,SID1124,Biology
Louis Palmer,SID1125,Psychology
Elizabeth Perry,SID1126,Engineering
Brenda Long,SID1127,Economics
Jessica Phillips,SID1128,Literature
Lisa Thompson,SID1129,Art
Christine Gray,SID1130,Physics
Amy Johnson,SID1131,Literature
Mark Pena,SID1132,Economics
Edward Braun,SID1133,Art
Renee Cherry,SID1134,Biology
Corey Cowan,SID1135,Philosophy
Robert Chandler,SID1136,Philosophy
Stacy Brown,SID1137,Art
Kevin Moore,SID1138,Computer Science
Terry Hart,SID1139,Literature
Angela Aguilar DVM,SID1140,History
Michael Henderson,SID1141,Mathematics
Christopher Vang,SID1142,Mathematics
Michelle White,SID1143,Medicine
Jeffrey Griffith,SID1144,Physics
Michael Lester,SID1145,Economics
Michelle Jones,SID1146,Art
Joseph Kelly,SID1147,Economics
Thomas Williams,SID1148,Medicine
Anthony Melendez,SID1149,Economics
Anna Gomez,SID1150,Biology
Brandon Cherry MD,SID1151,History
Joel Lee,SID1152,Engineering
Amy Mckay,SID1153,Computer Science
Mr. David Brown,SID1154,Art
Theresa Henderson,SID1155,Biology
Amanda Flores,SID1156,Biology
Jason Hudson,SID1157,Philosophy
Andrew Hayden,SID1158,Physics
Terrence Hernandez,SID1159,Medicine
Nicholas Ruiz,SID1160,Computer Science
Dustin Tucker,SID1161,Mathematics
Richard Chavez,SID1162,History
Joanna Andrews,SID1163,Philosophy
Rebecca Fox,SID1164,Medicine
Mark Greene,SID1165,Economics
Bethany Cooper,SID1166,History
Angela Howell,SID1167,Engineering
Catherine Martin,SID1168,Physics
Priscilla Hoffman,SID1169,Medicine
Jacob Gomez,SID1170,Philosophy
Brenda Washington,SID1171,Medicine
Robert Graham,SID1172,Psychology
Frank Mason,SID1173,Computer Science
Anthony Vasquez,SID1174,Engineering
Leslie Edwards,SID1175,Art
Raymond Perez,SID1176,Biology
Christopher Williams,SID1177,Mathematics
Jared Gonzalez,SID1178,Mathematics
Dalton Estrada,SID1179,Mathematics
Todd Parrish,SID1180,Medicine
Robert Mcdonald MD,SID1181,Psychology
Luis Taylor,SID1182,Philosophy
Tony Bryant,SID1183,History
Michael Wallace,SID1184,Physics
Sherry Carpenter,SID1185,Psychology
Jacob Willis,SID1186,Philosophy
Zachary Morris,SID1187,Computer Science
Susan Roberts,SID1188,Literature
Bradley Cortez,SID1189,Philosophy
Kayla Perkins,SID1190,Mathematics
Jennifer Williams,SID1191,Computer Science
Christine Johnson,SID1192,Art
James Brown,SID1193,Mathematics
Ian Mcdonald,SID1194,Philosophy
Amy Drake,SID1195,Engineering
Peter Guerrero,SID1196,Biology
Rodney Young,SID1197,Engineering
Robin Fox,SID1198,Physics
Christine Rodriguez,SID1199,Art
Blake Grant,SID1200,Mathematics
Thomas Klein,SID1201,Medicine
Sonya Morrow,SID1202,Medicine
Sean Mills,SID1203,Engineering
Deanna Thompson,SID1204,Computer Science
Patrick Singleton,SID1205,Physics
Kevin Ray MD,SID1206,Physics
Jerome Martinez,SID1207,Engineering
James Robinson,SID1208,Philosophy
Jennifer Waters,SID1209,Computer Science
Diane Sims,SID1210,Medicine
Tony Mccoy,SID1211,Medicine
Anna Cook,SID1212,Physics
Christopher Wallace,SID1213,Physics
Nathan Johns,SID1214,Philosophy
Shelly Davidson,SID1215,Literature
Donald James,SID1216,Biology
Christopher Zavala,SID1217,Economics
Kimberly Martinez,SID1218,Computer Science
Ian Davis,SID1219,Computer Science
Tony Braun,SID1220,Medicine
Andrew Cobb,SID1221,Economics
Edward Dalton,SID1222,Medicine
Victoria Perez,SID1223,Philosophy
Lori Oliver,SID1224,History
Cindy Scott,SID1225,Economics
Meghan Horn,SID1226,Mathematics
Courtney Wells,SID1227,Physics
Curtis Roman,SID1228,Computer Science
Deborah Rich,SID1229,Biology
Alison Forbes,SID1230,Physics
Taylor Harding,SID1231,Literature
Colleen Rogers,SID1232,Philosophy
Rodney Collins,SID1233,Economics
Tamara Hamilton,SID1234,Engineering
Christopher Thomas,SID1235,Literature
Bradley Gutierrez,SID1236,Physics
Valerie Morales DVM,SID1237,Engineering
Felicia Sanchez,SID1238,Medicine
Nathan Harvey,SID1239,Literature
Katie Zuniga,SID1240,Medicine
Sandy Mitchell,SID1241,Philosophy
Laura Parker,SID1242,Medicine
Pamela Watts,SID1243,Physics
Henry Gonzalez,SID1244,Biology
William Jones,SID1245,Philosophy
Mark Holmes,SID1246,Medicine
Roy Miller,SID1247,Psychology
Kendra Johnson,SID1248,Psychology
Christy Williams,SID1249,Philosophy
Samuel Nelson,SID1250,Literature
Brett Hernandez,SID1251,Literature
Julie Walker,SID1252,Literature
Tasha Kidd,SID1253,Philosophy
Robert Morales,SID1254,Literature
Sergio Cobb,SID1255,Physics
Bobby Lee,SID1256,Computer Science
Aaron Gregory,SID1257,Engineering
Shane Brown,SID1258,Economics
Sarah Clark,SID1259,Computer Science
Lisa Garcia,SID1260,Physics
Kim Aguirre,SID1261,Biology
Eric Cisneros,SID1262,Economics
Kristine Mercado,SID1263,Biology
Christopher Wright,SID1264,Biology
Jacqueline Edwards,SID1265,Literature
Brandy Henry,SID1266,Literature
Whitney Harris,SID1267,Philosophy
Evan Miller,SID1268,Medicine
Christopher James,SID1269,Engineering
Victoria Steele,SID1270,Physics
Kevin Harris,SID1271,History
Carla Salinas,SID1272,Engineering
Matthew Martin,SID1273,Biology
Tyler Brown,SID1274,Art
Danny Shields,SID1275,Literature
Erin Perez,SID1276,Art
Teresa Williams,SID1277,Engineering
Paul Esparza,SID1278,Literature
Danielle Rodriguez,SID1279,Art
Steven Smith,SID1280,Economics
Mrs. Cathy Medina,SID1281,History
Brooke Watson,SID1282,History
Angela Pearson,SID1283,Economics
Gary Tapia,SID1284,Philosophy
Stephanie Foster,SID1285,History
Christopher Calderon,SID1286,Engineering
Daniel Rich,SID1287,Economics
Jeremy Robinson,SID1288,Art
Jesus Miller,SID1289,Philosophy
Michael Johnson,SID1290,Economics
Scott Obrien,SID1291,Physics
Stephanie Cochran,SID1292,Psychology
Nathaniel Brown,SID1293,Computer Science
Kyle Armstrong,SID1294,Philosophy
Brooke Ward DDS,SID1295,Economics
Richard Molina,SID1296,Economics
Anthony Clark,SID1297,Literature
Misty Villa,SID1298,Economics
Isaiah Lopez,SID1299,Philosophy
Mark Robinson,SID1300,Engineering
Angel Hudson,SID1301,Mathematics
Katrina Bridges,SID1302,Engineering
Katie Mcdonald,SID1303,History
Alexis Horton,SID1304,Philosophy
Andrew Jordan,SID1305,Computer Science
Tyler Cunningham,SID1306,Engineering
Jack Turner,SID1307,Computer Science
Joseph Osborne,SID1308,Economics
Wesley Acosta,SID1309,Philosophy
Alice Martin,SID1310,Economics
Jasmin Serrano,SID1311,Physics
Cynthia Walker,SID1312,Engineering
Luke Bryant,SID1313,Medicine
Tracy King,SID1314,Psychology
Theresa Green,SID1315,Economics
Jacob Bridges,SID1316,Psychology
Megan Morris,SID1317,Computer Science
Joseph Douglas,SID1318,Biology
Richard Fernandez,SID1319,Physics
Vanessa Mathis,SID1320,History
Amber Colon,SID1321,Philosophy
Jay Johnson,SID1322,Economics
Joseph Randall,SID1323,Mathematics
Debra Bennett,SID1324,Biology
Derrick Evans,SID1325,Computer Science
Sarah Johnson,SID1326,Economics
Christopher Glover,SID1327,History
Christopher Lopez,SID1328,Economics
Madison Anderson,SID1329,Economics
Jordan Dawson,SID1330,Psychology
Stephanie Chan,SID1331,Computer Science
Stephen Cobb,SID1332,Physics
Gregory Schmitt,SID1333,Philosophy
Sarah Anthony,SID1334,Biology
Shelly Obrien,SID1335,Physics
Paige Sanchez,SID1336,Physics
Aaron White,SID1337,Literature
Anne Odonnell,SID1338,Mathematics
Regina Davis,SID1339,Economics
Adam Patterson,SID1340,History
Anna Mercado,SID1341,Computer Science
Kelsey Dominguez,SID1342,Engineering
Thomas Roberts,SID1343,Psychology
Samantha Davis,SID1344,Engineering
Steven Cole,SID1345,Literature
Anthony Nixon,SID1346,Literature
Shawn Brown,SID1347,Medicine
Christopher Jensen,SID1348,Mathematics
Aaron Russo,SID1349,Mathematics
Paul Beck,SID1350,Psychology
Erica Chase,SID1351,Engineering
Tonya Cuevas,SID1352,Literature
Michael Anderson,SID1353,Philosophy
Paige Reyes,SID1354,Literature
John Cooper,SID1355,Philosophy
Elizabeth Key,SID1356,Engineering
Melissa Mitchell,SID1357,History
Daniel Stewart,SID1358,History
Amanda Kaufman,SID1359,Medicine
Richard Bird,SID1360,Art
Rebecca Saunders,SID1361,Physics
Matthew Middleton,SID1362,Mathematics
Yolanda Austin,SID1363,Literature
Kristin Livingston,SID1364,Art
Timothy Boyd,SID1365,Philosophy
Brian Johnson,SID1366,Literature
Christopher Owens,SID1367,Physics
Justin Washington,SID1368,Mathematics
Eric Bryant,SID1369,Art
Savannah Chapman,SID1370,Literature
Neil Valentine,SID1371,Medicine
Elizabeth Bridges,SID1372,Mathematics
Shannon Cochran,SID1373,Economics
Michael Miller,SID1374,Literature
Anthony Clark,SID1375,Philosophy
Erica Johnson,SID1376,Physics
Laura Jackson,SID1377,Mathematics
Gwendolyn Hernandez,SID1378,Mathematics
Andrea Garcia,SID1379,Art
Jane Summers,SID1380,Medicine
Henry Davis,SID1381,Art
Dana Rivera,SID1382,Engineering
Christopher Gonzalez,SID1383,Literature
Jorge Henderson,SID1384,Psychology
Edward Rodriguez,SID1385,Computer Science
Jay Tran,SID1386,Mathematics
Johnny Clark,SID1387,History
Joseph Bryant,SID1388,Literature
Sarah Choi,SID1389,Physics
Cody Bird,SID1390,Computer Science
Jacob Miller,SID1391,History
Vincent Norton,SID1392,Art
Danielle White,SID1393,Computer Science
James Reynolds,SID1394,Engineering
Andrew Henson,SID1395,Economics
Christopher Daugherty,SID1396,Mathematics
Ronnie Donovan,SID1397,Mathematics
Shannon Jones,SID1398,Art
Caroline Webb,SID1399,History
Amanda Valdez,SID1400,Economics
Eric Adams,SID1401,Mathematics
Paul Hill,SID1402,History
Darrell Stevens,SID1403,Physics
Stacie Tanner,SID1404,Psychology
William Hernandez,SID1405,History
Bethany Patel,SID1406,Art
Melinda Williams,SID1407,Psychology
James Miller,SID1408,Engineering
Timothy Collins,SID1409,Philosophy
Frederick Barnett,SID1410,Medicine
Connie Griffin,SID1411,Medicine
Justin Ellison,SID1412,Medicine
Heather Reed,SID1413,History
Patricia Ortega,SID1414,Art
Crystal Hanson,SID1415,Literature
Lance Peters,SID1416,Philosophy
Courtney Barrett,SID1417,Literature
Maria Williams,SID1418,Art
Laurie Hughes,SID1419,Physics
Dana Hernandez,SID1420,Literature
Jordan Lindsey,SID1421,Psychology
Michael Ramirez,SID1422,Physics
Peter Porter,SID1423,Physics
Brian Hall,SID1424,History
Tiffany Hart,SID1425,Psychology
Jared Graves,SID1426,Computer Science
Linda Romero,SID1427,Philosophy
Ryan Smith,SID1428,Psychology
Daisy Turner,SID1429,Literature
Lisa Walker,SID1430,Mathematics
Jenny Ruiz,SID1431,Engineering
Melissa Maxwell,SID1432,Economics
Brenda Bell,SID1433,Engineering
Leslie Roberts,SID1434,Philosophy
James Munoz,SID1435,Philosophy
Tom Hall,SID1436,History
Daniel Lucas,SID1437,Biology
Janet Johnson,SID1438,Mathematics
Michael Howell,SID1439,Literature
Jillian Bentley DDS,SID1440,Biology
Jill Arnold,SID1441,Literature
Cameron Ball,SID1442,Literature
Kristina Herman,SID1443,Engineering
Christina Melton,SID1444,Economics
Emily Hall,SID1445,Philosophy
Rebecca Andrews,SID1446,Art
Vincent Pitts,SID1447,Engineering
John Foster,SID1448,Mathematics
Mr. Bradley Nash,SID1449,Literature
Amanda Wall,SID1450,Psychology
Louis Wood,SID1451,Economics
Christina Williams,SID1452,Literature
Andrea Patel,SID1453,Psychology
Rebecca Mayer,SID1454,Biology
Timothy Allen,SID1455,Economics
Justin Hebert,SID1456,Medicine
Priscilla Davis,SID1457,Literature
Pamela Cortez,SID1458,Economics
Ashley Miller,SID1459,Engineering
Mark Adams,SID1460,Philosophy
Hayley Sandoval,SID1461,Art
Lauren May,SID1462,Economics
Ethan Kline,SID1463,Art
Eric Craig,SID1464,Medicine
Jean Mccarthy,SID1465,Economics
Wesley Gaines,SID1466,Physics
James Williams,SID1467,Biology
Donna Stark,SID1468,Physics
Anthony Brown,SID1469,History
Sarah Kim,SID1470,Medicine
Mrs. Sabrina Stafford,SID1471,Medicine
Jessica Fuentes,SID1472,Computer Science
John Owens,SID1473,Engineering
William Blackwell,SID1474,Computer Science
Patrick Mcdonald,SID1475,Medicine
Robert Thomas,SID1476,Medicine
Matthew Brown,SID1477,Physics
Roberta Fernandez,SID1478,Literature
Christopher Meyers,SID1479,History
Cody Marshall,SID1480,Philosophy
James Willis,SID1481,Physics
Taylor Myers,SID1482,Art
Amanda Bell,SID1483,Biology
Daniel Stone,SID1484,Physics
Michael Rojas,SID1485,Art
Michael Ingram,SID1486,Literature
Elizabeth Bryant,SID1487,Computer Science
Eric Smith,SID1488,Art
Kristen Bray,SID1489,Computer Science
James Garcia,SID1490,Psychology
Cole Chavez,SID1491,Philosophy
Tina Davis,SID1492,Medicine
David Thomas,SID1493,Mathematics
Ryan Walters,SID1494,Engineering
Briana Rowe,SID1495,Biology
Melanie Lowe,SID1496,Art
David Gomez,SID1497,Philosophy
Pamela Cunningham,SID1498,Philosophy
Shane Brown,SID1499,Mathematics
Bradley Rivas,SID1500,Art
Timothy Brown,SID1501,Computer Science
Mr. Nathan Washington Jr.,SID1502,Philosophy
Andrea Williams,SID1503,Engineering
Connor Abbott,SID1504,Literature
Mario Robertson,SID1505,Physics
Dr. Jacqueline Miller,SID1506,Medicine
Alison Howard,SID1507,Philosophy
Jacob Burton,SID1508,Engineering
Eric Huffman,SID1509,Literature
Blake Lee,SID1510,Biology
Julie Sanders,SID1511,Economics
Crystal Benson,SID1512,Mathematics
Christina Martinez,SID1513,Biology
Max Garrett,SID1514,Mathematics
Dylan Wilson,SID1515,Art
Dean Simon,SID1516,Mathematics
Austin Daniels,SID1517,Mathematics
Mrs. Nicole Wiley,SID1518,Psychology
Megan Conley,SID1519,Computer Science
George Blair,SID1520,Philosophy
Robert Smith,SID1521,Philosophy
Melissa Carr,SID1522,Biology
Kelly Porter,SID1523,Art
Elizabeth Velasquez,SID1524,Literature
Paul Cooper,SID1525,Medicine
Katrina Ellis,SID1526,Physics
William Mcbride,SID1527,Biology
William Harrison,SID1528,Economics
Robert Molina,SID1529,Psychology
Christopher Hernandez,SID1530,Art
James Dixon,SID1531,History
Patrick Leon,SID1532,Psychology
Erica Freeman,SID1533,History
Eric Knight,SID1534,Psychology
Alyssa Cox,SID1535,Mathematics
Elizabeth West,SID1536,Mathematics
Travis Garcia,SID1537,Computer Science
Benjamin Hood,SID1538,Art
Ann Turner,SID1539,Literature
Lance Thompson,SID1540,Computer Science
John Smith,SID1541,Psychology
Misty Luna,SID1542,Medicine
James Schmitt,SID1543,Computer Science
Wayne Gonzalez,SID1544,Psychology
Emily Jennings,SID1545,Literature
James Molina,SID1546,Engineering
Kathy Williams,SID1547,Biology
Michael Hernandez,SID1548,Economics
Joe Valdez,SID1549,Economics
Paul Reyes,SID1550,Physics
Benjamin Ramirez,SID1551,Literature
Veronica Rodriguez,SID1552,Medicine
Danielle Ward,SID1553,Philosophy
Michael Smith,SID1554,Biology
Jason Jackson,SID1555,Literature
Cynthia Ball,SID1556,Mathematics
Melissa Hudson,SID1557,Philosophy
Raymond Smith,SID1558,Literature
Michael Hart,SID1559,Computer Science
Brandi Robinson,SID1560,Computer Science
Nathan Roberts,SID1561,Psychology
William Johnston,SID1562,Medicine
Diamond Donovan,SID1563,Computer Science
Alexandria Neal,SID1564,Engineering
Martin Brown,SID1565,Computer Science
Zachary Travis,SID1566,Philosophy
Jack Brady,SID1567,Biology
Kayla Boyd,SID1568,Psychology
Anthony Castro,SID1569,Literature
Sheila Hogan,SID1570,Philosophy
Michelle Weaver,SID1571,Philosophy
Joe Burns,SID1572,Computer Science
Christine Chambers,SID1573,Engineering
David Roberts,SID1574,Psychology
Dennis Smith,SID1575,Mathematics
Teresa Chambers,SID1576,Psychology
Sarah Robinson,SID1577,Philosophy
Kimberly Spencer DDS,SID1578,Art
Kenneth Evans Jr.,SID1579,Economics
Sean Hampton,SID1580,Mathematics
Dawn Knight,SID1581,Computer Science
Joe Johnston,SID1582,Engineering
Robert Baldwin,SID1583,Biology
Ashley Reyes,SID1584,Medicine
William Simon,SID1585,Engineering
Lisa Walls,SID1586,History
Lisa Allen,SID1587,Computer Science
Leslie Wolf,SID1588,Art
William Alexander,SID1589,Literature
Tiffany Moran,SID1590,Art
Cathy Mclean,SID1591,Philosophy
Kimberly Coffey,SID1592,Mathematics
Jacqueline Hernandez,SID1593,Physics
Kathy Mann,SID1594,Literature
Robert Case,SID1595,History
Nancy Montoya,SID1596,Mathematics
Monica Hancock,SID1597,Mathematics
Mark Taylor,SID1598,History
Warren Combs,SID1599,Biology
Lynn Williams,SID1600,Computer Science
Brittany Steele,SID1601,Computer Science
Amy Le,SID1602,Psychology
Joel Kennedy,SID1603,Mathematics
Rebecca Schmidt DDS,SID1604,Literature
Sean Johnson,SID1605,Philosophy
Emily Kennedy,SID1606,Philosophy
Francisco Hamilton,SID1607,Mathematics
Scott Obrien,SID1608,Medicine
Laura Morgan,SID1609,Philosophy
Daniel Fry,SID1610,Physics
Meghan Duncan,SID1611,Engineering
Aaron Jones,SID1612,Philosophy
Stacey Sanders,SID1613,Economics
Mitchell Merritt,SID1614,Physics
Mark Webb,SID1615,Philosophy
Michael Pitts,SID1616,History
Vickie Brown,SID1617,Physics
Tara Rodriguez,SID1618,History
Jose Fischer,SID1619,Philosophy
Martha Douglas,SID1620,Engineering
Kevin Miles,SID1621,Psychology
Denise Bishop,SID1622,Medicine
Julie Reid,SID1623,Psychology
Dr. Kenneth Chapman,SID1624,Medicine
Sandra Meadows,SID1625,Mathematics
Michael Thompson,SID1626,Art
Tracy Brown,SID1627,Medicine
Michael Bowman,SID1628,Economics
John Chapman,SID1629,Physics
Nicole Diaz,SID1630,Art
Marissa Ali,SID1631,Economics
Kristen Warren,SID1632,Art
Brian Robertson,SID1633,Art
Bridget Garrett,SID1634,Philosophy
Francisco Harvey,SID1635,History
Lisa Prince,SID1636,Engineering
Jaime Davis,SID1637,Art
Steven Rodriguez,SID1638,History
Shane Jordan,SID1639,Computer Science
Herbert Munoz,SID1640,History
Jose Jordan,SID1641,Economics
Kim Rios,SID1642,Biology
Dr. Sherry Torres,SID1643,Computer Science
James Clark,SID1644,Philosophy
Ebony Fuller,SID1645,Psychology
Carla Martin,SID1646,Literature
Jonathan Thompson MD,SID1647,Biology
Leslie Clark,SID1648,Engineering
Ellen Freeman,SID1649,Economics
Earl Ritter,SID1650,Economics
Brian Warren,SID1651,Art
David Walsh,SID1652,History
Jesse Douglas,SID1653,Psychology
Bobby Thomas,SID1654,Physics
Lauren Harper,SID1655,Psychology
Andrea Clark,SID1656,Computer Science
Paul Ayers,SID1657,Engineering
Julia Jacobson,SID1658,Biology
Joseph Bailey,SID1659,Literature
Betty Gonzales,SID1660,Philosophy
John Doyle,SID1661,Art
Darrell Schmitt,SID1662,Psychology
Kimberly Smith,SID1663,Biology
David Smith,SID1664,Psychology
Jennifer Camacho,SID1665,History
Dennis Gilmore,SID1666,Psychology
Julie Parrish,SID1667,Biology
Jerome Martin,SID1668,Economics
Rachel Lewis,SID1669,Computer Science
Sherry Lynn,SID1670,Computer Science
Melissa Harris,SID1671,History
Thomas Fisher,SID1672,Computer Science
Henry Anderson,SID1673,Physics
Stacie Li,SID1674,Engineering
Stephen Smith,SID1675,Literature
Robert Hernandez,SID1676,Computer Science
Tina Lee,SID1677,Literature
Sylvia Shelton,SID1678,Psychology
James Adams,SID1679,Mathematics
Melissa Gutierrez,SID1680,Physics
Timothy Guerra,SID1681,Art
Mary Delacruz,SID1682,Physics
Kimberly Cline,SID1683,Art
Amber Ramirez,SID1684,Art
Paula King,SID1685,Philosophy
Jack Shepard,SID1686,Biology
Ryan Welch,SID1687,History
Heather Jimenez,SID1688,Physics
Michael Burton,SID1689,Medicine
Aaron Porter,SID1690,Literature
Todd Willis,SID1691,Philosophy
Mark Keith,SID1692,Computer Science
Lee Johnson,SID1693,Engineering
Alexander Lynch,SID1694,Physics
Richard Jones,SID1695,Economics
Ian Williams,SID1696,Philosophy
Lisa Cameron,SID1697,Economics
Stephanie Stokes,SID1698,Literature
Cody Potts,SID1699,Literature
Karen Simpson,SID1700,Medicine
Mindy Durham,SID1701,Engineering
Sandra Morales,SID1702,Art
Russell Sawyer,SID1703,Engineering
Andrew Evans,SID1704,Medicine
Dawn Acevedo,SID1705,Psychology
Leah Frazier,SID1706,Engineering
Evelyn Davis,SID1707,Computer Science
Robert Ballard,SID1708,Philosophy
Terry Lynch,SID1709,Economics
Larry Taylor,SID1710,Psychology
Joe Simmons,SID1711,Literature
Rebecca Mora,SID1712,Computer Science
Michelle Wilson,SID1713,History
Melissa Baker,SID1714,Psychology
Caroline Miller,SID1715,Philosophy
James Coleman,SID1716,Biology
Robert Rodriguez,SID1717,Philosophy
Casey Terry,SID1718,Computer Science
Kelly Flores,SID1719,Psychology
Kelsey Taylor,SID1720,Physics
Brandi Gaines,SID1721,Mathematics
Dawn Brady,SID1722,Computer Science
Rachel Mcfarland,SID1723,Computer Science
Michael Daugherty,SID1724,Literature
Jennifer White,SID1725,Economics
Jeffery Graham,SID1726,Psychology
Donna Garcia,SID1727,Literature
Gregory Campbell,SID1728,Economics
Crystal Chen,SID1729,Literature
Kevin Howard,SID1730,Computer Science
Nathaniel Reed,SID1731,Art
Wesley Adams,SID1732,Art
Kathleen Nguyen,SID1733,Economics
Tyler Young,SID1734,Medicine
Anthony Ferguson,SID1735,Mathematics
David Mccoy,SID1736,Biology
Michael Richardson,SID1737,Mathematics
James Martin,SID1738,Economics
John Padilla,SID1739,Biology
Albert Moses,SID1740,Biology
Steven Shea,SID1741,Physics
Rita Caldwell,SID1742,Medicine
David Ayala,SID1743,Biology
James Cruz,SID1744,Art
Nicole Patterson,SID1745,Philosophy
Jeremy Crane,SID1746,Economics
Jessica Ward,SID1747,Economics
Mrs. Karen Stevens MD,SID1748,Mathematics
Donald Robinson,SID1749,Psychology
Julia Smith,SID1750,Physics
Sandra Bright,SID1751,Psychology
Tyler Mills,SID1752,Economics
Michele Larson,SID1753,Biology
Leah Mata,SID1754,History
Jacob Ross,SID1755,Engineering
Jasmine Ray,SID1756,Physics
Vanessa Monroe,SID1757,Computer Science
Zachary Rodriguez,SID1758,Mathematics
Gregory Valdez,SID1759,Medicine
Gary Matthews,SID1760,Biology
Victoria Sanchez,SID1761,Computer Science
John Ferguson,SID1762,Engineering
Dennis Alvarado,SID1763,Engineering
Katie Reid,SID1764,Physics
David Hopkins,SID1765,History
Katherine Harris,SID1766,Biology
Elizabeth Hicks,SID1767,Literature
Steven Henderson,SID1768,Psychology
Jessica Guzman,SID1769,Physics
Darren Bruce,SID1770,Art
William Mendez,SID1771,Computer Science
Heidi Wilson,SID1772,Engineering
David Wilson,SID1773,Engineering
Ruth Phillips,SID1774,Economics
Tammy Garrett,SID1775,History
Gary Gomez,SID1776,Psychology
Michelle Carey,SID1777,Computer Science
Susan Avery,SID1778,Medicine
